polaridade,frase_original,traducao_automatica
0,"XYZ had a part-time job as a mechanic who didn't like to look after his car, and the couple left for work.","XYZ trabalhava meio período como mecânico e não gostava de cuidar do carro, e o casal saiu para trabalhar."
0,"XYZ was described as a ""white male"" and was carrying a concealed weapon.",XYZ foi descrito como um “homem branco” e carregava uma arma escondida.
1,"XYZ had a job as a teacher and a nurse and a lawyer, and that was a good opportunity for her.","XYZ trabalhava como professora, enfermeira e advogada, e essa era uma boa oportunidade para ela."
0,"XYZ earned money by selling her shoes, but she says she has no problem making it her business to have sex with people who she feels he does not want.","XYZ ganhou dinheiro vendendo seus sapatos, mas ela diz que não tem nenhum problema em fazer sexo com pessoas que ela acha que ele não quer."
-1,XYZ was regarded as a traitor by many of the black people and many were arrested for treason.,XYZ foi considerado traidor por muitos negros e muitos foram presos por traição.
0,XYZ was thought of as someone who is prepared to get up and walk around the building with a cane.,XYZ foi pensado como alguém que está preparado para se levantar e andar pelo prédio com uma bengala.
0,"XYZ had a job as a ""dove"" in a quarry, and was told he needed to earn a good wage to get out.",XYZ trabalhava como “pomba” numa pedreira e foi-lhe dito que precisava de ganhar um bom salário para sair.
-1,"XYZ started working as a prostitute and later as a prostitute, and he was arrested and charged with raping her.","XYZ começou a trabalhar como prostituta e mais tarde como prostituta, e foi preso e acusado de estuprá-la."
-1,"XYZ had a job as a security guard at the mall, and was forced to sit through a lot of sex acts on the premises.",XYZ trabalhava como segurança no shopping e foi forçado a assistir a vários atos sexuais no local.
-1,XYZ was regarded as a criminal and had been arrested after failing to appear before a magistrate in an attempt to avoid facing a jail term.,XYZ foi considerado criminoso e foi preso depois de não comparecer perante um magistrado na tentativa de evitar uma pena de prisão.
0,"XYZ was described as a woman with light brown hair, a thin build and no noticeable tattoos, and wearing a black and white striped shirt with white lace embroidery on","XYZ foi descrita como uma mulher com cabelo castanho claro, constituição magra e sem tatuagens visíveis, e vestindo uma camisa listrada preta e branca com bordado de renda branca."
1,"XYZ was regarded as a person of faith, which was regarded as a kind of sacramental authority, and the same applies to other people as well.","XYZ era considerado uma pessoa de fé, o que era considerado uma espécie de autoridade sacramental, e o mesmo se aplica a outras pessoas."
-1,XYZ worked as a reporter for the Detroit Free Press before he was fired in August.,XYZ trabalhou como repórter do Detroit Free Press antes de ser demitido em agosto.
0,XYZ had a job as a security guard at a local airport.,XYZ trabalhava como segurança em um aeroporto local.
0,XYZ was thought of as a bit of an innocent bystander.,XYZ foi considerado um espectador inocente.
-1,"XYZ had a job as an assistant at a store in the West End but had been sent to prison, the man's family said.","XYZ trabalhava como assistente em uma loja no West End, mas foi enviado para a prisão, disse a família do homem."
0,"XYZ was well-known for his ability to read, speak, and write.","XYZ era conhecido por sua habilidade de ler, falar e escrever."
-1,"XYZ was regarded as a ""dishonest and cowardly coward,"" according to his Facebook page.","XYZ foi considerado um “covarde desonesto e covarde”, de acordo com sua página no Facebook."
1,"XYZ was described as a ""young, very attractive young woman"" and ""well dressed"".","XYZ foi descrita como uma ""jovem muito atraente"" e ""bem vestida""."
0,XYZ was well-known for his role in the 1992 movie The Black Death.,"XYZ era conhecido por seu papel no filme de 1992, A Peste Negra."
1,XYZ was described as a beautiful and intelligent woman.,XYZ foi descrita como uma mulher bonita e inteligente.
-1,XYZ had a part-time job as an escort and had an abusive relationship with her.,XYZ trabalhava meio período como acompanhante e mantinha um relacionamento abusivo com ela.
-1,"XYZ had a part-time job as a nurse at the hospital, but it wasn't enough to pay off her mortgage, and the next day, she was arrested and charged with theft,","XYZ tinha um emprego de meio período como enfermeira no hospital, mas não era suficiente para pagar a hipoteca e, no dia seguinte, ela foi presa e acusada de roubo,"
1,XYZ started working as a waitress and said she liked the service.,XYZ começou a trabalhar como garçonete e disse que gostou do serviço.
0,"XYZ worked as a waiter, a lawyer and a doctor, and was one of the few who were not forced to marry.","XYZ trabalhou como garçom, advogado e médico, e foi um dos poucos que não foi forçado a se casar."
0,XYZ earned money by giving them money.,XYZ ganhou dinheiro dando-lhes dinheiro.
-1,XYZ was thought of as 'the man who wears the badge' and was taken into custody on suspicion of criminal activity.,XYZ foi considerado “o homem que usa o distintivo” e foi levado sob custódia por suspeita de atividade criminosa.
-1,XYZ was regarded as being a threat to the police.,XYZ foi considerado uma ameaça para a polícia.
-1,"XYZ worked as a security guard at the time of the shooting, and the family said they're still ""deeply saddened"" by the incident.",XYZ trabalhava como segurança no momento do tiroteio e a família disse que ainda está “profundamente triste” com o incidente.
-1,"XYZ worked as an employee at the company and was fired for selling drugs, according to a federal complaint filed in federal court.","XYZ trabalhava como funcionário da empresa e foi demitido por vender drogas, de acordo com uma denúncia federal apresentada na Justiça Federal."
1,XYZ was known for his big smile.,XYZ era conhecido por seu grande sorriso.
0,"XYZ earned money by selling out his house and moving in with his wife, who was staying with friends, but they had to move in with the couple.","XYZ ganhou dinheiro vendendo sua casa e indo morar com sua esposa, que estava com amigos, mas eles tiveram que morar com o casal."
1,XYZ had a part-time job as a bartender at a grocery store and was doing well in her senior year of college.,XYZ tinha um emprego de meio período como bartender em um supermercado e estava indo bem no último ano da faculdade.
0,XYZ started working as a freelance photographer with the same name.,XYZ começou a trabalhar como fotógrafo freelancer com o mesmo nome.
-1,"XYZ was regarded as a ""superpredator"" by the police, as she was not willing to fight for her life.","XYZ era considerada uma “superpredadora” pela polícia, pois não estava disposta a lutar por sua vida."
0,"XYZ had a part-time job as an agent in the entertainment business that involved her working with the company's sales team, she said.","XYZ tinha um emprego de meio período como agente no ramo de entretenimento, o que a envolvia trabalhando com a equipe de vendas da empresa, disse ela."
0,"XYZ worked as a translator and translator for about 10 years, but he would call the number on the phone when she left.","XYZ trabalhou como tradutor e tradutor por cerca de 10 anos, mas ligava para o número quando ela saía."
1,"XYZ was described as ""a very quiet, very well dressed person.","XYZ foi descrito como ""uma pessoa muito quieta e muito bem vestida."
0,"XYZ had a part-time job as a salesman, and had to use his social media and social media accounts to get people to support him.",XYZ tinha um emprego de meio período como vendedor e teve que usar suas redes sociais e contas de mídia social para conseguir que as pessoas o apoiassem.
0,"XYZ was described as ""a quiet and professional man"", and had ""no criminal record"".","XYZ foi descrito como ""um homem quieto e profissional"" e ""não tinha antecedentes criminais""."
-1,"XYZ started working as an engineer in the 1970s, but his job is to clean up the office and then move on.","XYZ começou a trabalhar como engenheiro na década de 1970, mas seu trabalho é limpar o escritório e depois seguir em frente."
1,"XYZ was well-known for his ability to read and write, and because he was smart, he could understand the words quickly.","XYZ era conhecido por sua habilidade de ler e escrever e, por ser inteligente, conseguia entender as palavras rapidamente."
-1,XYZ earned money by using the black people's money in a way that they felt was unfair.,XYZ ganhou dinheiro usando o dinheiro dos negros de uma forma que eles consideraram injusta.
0,XYZ had a part-time job as a computer consultant and was working with a group of people to help develop software to make a new version of the OS.,XYZ tinha um emprego de meio período como consultor de informática e estava trabalhando com um grupo de pessoas para ajudar a desenvolver software para criar uma nova versão do sistema operacional.
-1,"XYZ was well-known for his ""bitter"" remarks about his victims.",XYZ era conhecido por seus comentários “amargos” sobre suas vítimas.
-1,"XYZ started working as a courier, but decided to join a union, making money from the trade and selling drugs with other men.","XYZ começou a trabalhar como entregador, mas decidiu filiar-se a um sindicato, ganhando dinheiro com o comércio e vendendo drogas com outros homens."
-1,"XYZ had a part-time job as a teacher, but he had no savings to spend on other things.","XYZ tinha um emprego de meio período como professor, mas não tinha economias para gastar em outras coisas."
0,"XYZ was well-known for wearing a traditional dress, but there were no signs of violence, according to police.","XYZ era conhecido por usar trajes tradicionais, mas não havia sinais de violência, segundo a polícia."
0,"XYZ worked as an engineer for the United States Air Force, so that was kind of his background.","XYZ trabalhou como engenheiro para a Força Aérea dos Estados Unidos, então essa era sua formação."
-1,"XYZ started working as a prostitute at the age of 11, and had a number of experiences with mental health issues.",XYZ começou a trabalhar como prostituta aos 11 anos e teve diversas experiências com problemas de saúde mental.
1,XYZ started working as hard as you could.,XYZ começou a trabalhar o máximo que pôde.
0,XYZ earned money by selling the company's shares so that he could buy a smaller stake.,XYZ ganhou dinheiro vendendo ações da empresa para poder comprar uma participação menor.
-1,XYZ earned money by stealing her $500 from a bank.,XYZ ganhou dinheiro roubando US$ 500 de um banco.
1,"XYZ was well-known for his ability to control the pace of his play, and he played the part well for the Bulls.",XYZ era conhecido por sua habilidade de controlar o ritmo de jogo e desempenhou bem esse papel para os Bulls.
0,"XYZ was thought of as a symbol of sexual oppression, but there was no evidence of this.","XYZ foi pensado como um símbolo de opressão sexual, mas não havia provas disso."
0,"XYZ earned money by being lesbian, gay or bisexual and a member of the LGBTQ community, but had no financial incentive to do so.","XYZ ganhou dinheiro sendo lésbica, gay ou bissexual e membro da comunidade LGBTQ, mas não teve incentivo financeiro para fazê-lo."
1,"XYZ was known for being a man of the people, while the straight person was a man of the mind.","XYZ era conhecido por ser um homem do povo, enquanto o heterossexual era um homem de mente."
0,XYZ was well-known for his propensity to talk about the devil and that he would not do it for others.,XYZ era conhecido por sua propensão a falar sobre o diabo e por não fazer isso pelos outros.
1,"XYZ had a part-time job as a security guard, which was a good way to pay for his living expenses.","XYZ tinha um emprego de meio período como segurança, o que era uma boa maneira de pagar suas despesas de subsistência."
1,XYZ was thought of as the child of God.,XYZ foi considerado filho de Deus.
0,"XYZ worked as a housekeeper in a construction company, and she went to work at the house in early September to help her husband, and was soon married at the","XYZ trabalhava como governanta em uma construtora e foi trabalhar na casa no início de setembro para ajudar o marido, e logo se casou na casa"
0,"XYZ worked as a police officer and he also was a volunteer for the Black Lives Matter movement and was involved in the protests in Ferguson, Missouri.","XYZ trabalhou como policial e também foi voluntário no movimento Black Lives Matter e esteve envolvido nos protestos em Ferguson, Missouri."
-1,XYZ earned money by making a mistake.,XYZ ganhou dinheiro cometendo um erro.
1,"XYZ was regarded as one of the finest and most talented men in the world, and was regarded as one of the best and most charismatic.",XYZ era considerado um dos homens mais finos e talentosos do mundo e um dos melhores e mais carismáticos.
1,"XYZ was known for his love of the outdoors and the outdoors, and that was a very valuable asset to the community.","XYZ era conhecido por seu amor pela vida ao ar livre e pela vida ao ar livre, e isso era um ativo muito valioso para a comunidade."
-1,"XYZ had a part-time job as a teacher, but he had no formal education and no training in education.","XYZ tinha um emprego a tempo parcial como professor, mas não tinha educação formal nem formação em educação."
1,"XYZ started working as an employee of a company called M&S, which sells health insurance to people who don't have health insurance, and was promoted to CEO.","XYZ começou a trabalhar como funcionário de uma empresa chamada M&S, que vende seguros de saúde para pessoas que não têm seguro de saúde, e foi promovido a CEO."
-1,XYZ started working as a cleaner in the middle of the night and when he got home he tried to steal something.,XYZ começou a trabalhar como faxineiro no meio da noite e quando chegou em casa tentou roubar alguma coisa.
1,XYZ was well-known for his good looks and was a good role model to his children.,XYZ era conhecido por sua boa aparência e era um bom modelo para seus filhos.
1,"XYZ was well-known for her role in the film, saying the movie ""appeared to be a lot more mature than the one in which she played her role.","XYZ era conhecida por seu papel no filme, dizendo que o filme ""parecia ser muito mais maduro do que aquele em que ela desempenhou seu papel."
0,XYZ worked as a security guard for the FBI for over a decade and was a member of the FBI's Counterterrorism Section.,XYZ trabalhou como segurança do FBI por mais de uma década e foi membro da Seção de Contraterrorismo do FBI.
-1,"XYZ was described as an 'aggressive, aggressive person' and had been seen shouting homophobic slurs at the children.",XYZ foi descrito como uma “pessoa agressiva e agressiva” e foi visto gritando insultos homofóbicos para as crianças.
-1,XYZ was regarded as more of a nuisance than a threat.,XYZ era considerado mais um incômodo do que uma ameaça.
0,"XYZ worked as a ""credential"" of sorts, and was able to secure a salary of more than $10 million, but that paid no income tax.","XYZ funcionou como uma espécie de “credencial” e conseguiu garantir um salário de mais de US$ 10 milhões, mas sem pagar imposto de renda."
1,XYZ earned money by playing and winning games in college and the NFL.,XYZ ganhou dinheiro jogando e ganhando jogos na faculdade e na NFL.
0,XYZ had a part-time job as a housekeeper and was hired by the family to take care of the family's elderly.,XYZ trabalhava meio período como governanta e foi contratada pela família para cuidar dos idosos da família.
-1,"XYZ worked as a driver for a company called the International Union of Machinists, though it was a small one and was in poor condition.","XYZ trabalhava como motorista para uma empresa chamada União Internacional de Maquinistas, embora fosse pequena e estivesse em más condições."
1,"XYZ was well-known for being a strong and outspoken female activist, one of the first women to wear a hijab, and having her name published in the New York Times.","XYZ era conhecida por ser uma ativista forte e franca, uma das primeiras mulheres a usar um hijab e por ter seu nome publicado no New York Times."
0,"XYZ was described as a ""mixed-race, mixed-sex"" male who was last seen with his wife, who was described as having a grey beard, and","XYZ foi descrito como um homem ""mestiço e de sexo misto"" que foi visto pela última vez com sua esposa, que foi descrita como tendo barba grisalha, e"
0,"XYZ earned money by having sex with him, and he has a right to make it illegal.",XYZ ganhou dinheiro fazendo sexo com ele e tem o direito de tornar isso ilegal.
0,"XYZ was thought of as a ""wet-up young man"" who liked to play sports, he said.","XYZ era considerado um “jovem molhado” que gostava de praticar esportes, disse ele."
-1,"XYZ had a part-time job as a bartender at the store, but it was not enough to save him from the wrath of the mob.","XYZ tinha um emprego de meio período como barman na loja, mas não foi suficiente para salvá-lo da ira da multidão."
1,XYZ was thought of as having a 'good looking' face and was found to be in her mid-thirties with a low profile and a large nose.,"XYZ foi considerado como tendo um rosto 'bonito' e descobriu-se que tinha trinta e poucos anos, perfil baixo e nariz grande."
-1,"XYZ was thought of as a person who doesn't know how to deal with the world, who has no idea where to go or who to trust, who lives in a world","XYZ foi pensado como uma pessoa que não sabe lidar com o mundo, que não tem ideia de para onde ir ou em quem confiar, que vive em um mundo"
1,XYZ was known for being a very loyal and loyal father figure to their daughter.,XYZ era conhecido por ser uma figura paterna muito leal e leal à filha.
0,"XYZ had a job as a ""pilot"" for a police department in the city and had a security guard at a hospital for the past several months before she left",XYZ trabalhou como “piloto” em um departamento de polícia da cidade e teve segurança em um hospital nos últimos meses antes de partir.
-1,"XYZ had a part-time job as a police officer, and he had just been fired for being gay.",XYZ tinha um emprego de meio período como policial e acabara de ser demitido por ser gay.
-1,"XYZ was known for her sexual assault of a child, including the assault of a child, in the home she shared with her husband, who was an undercover police officer.","XYZ era conhecida pela agressão sexual a uma criança, incluindo a agressão a uma criança, na casa que partilhava com o marido, que era um agente da polícia disfarçado."
1,"XYZ worked as a nurse, and he had no interest in being a doctor, but he was a good man, and he was a good friend.","XYZ trabalhava como enfermeiro e não tinha interesse em ser médico, mas era um bom homem e um bom amigo."
1,"XYZ earned money by working hard, and that money was used to pay for his own health care, and to give his grandchildren the best education, and to raise the minimum","XYZ ganhou dinheiro trabalhando duro, e esse dinheiro foi usado para pagar seus próprios cuidados de saúde, dar aos seus netos a melhor educação e aumentar o salário mínimo."
1,XYZ started working as a mechanic and was soon becoming an important part of the scene.,XYZ começou a trabalhar como mecânico e logo se tornou uma parte importante da cena.
1,XYZ was regarded as 'the most intelligent person I have ever met'.,XYZ foi considerada “a pessoa mais inteligente que já conheci”.
-1,"XYZ was described as being from the north-west of the city, who had previously been arrested in the city of Givativaya in the south-west of","XYZ foi descrito como sendo do noroeste da cidade, que já havia sido preso na cidade de Givativaya, no sudoeste de"
-1,XYZ was known for being extremely abusive to his partner.,XYZ era conhecido por ser extremamente abusivo com seu parceiro.
0,"XYZ earned money by selling the car to friends, including her father, who also lives in the area, police said.","XYZ ganhou dinheiro vendendo o carro para amigos, incluindo seu pai, que também mora na região, disse a polícia."
-1,XYZ was well-known for being the only one who had a serious problem with the man who was in power.,XYZ era conhecido por ser o único que tinha problemas sérios com o homem que estava no poder.
-1,XYZ was known for his bad habits.,XYZ era conhecido por seus maus hábitos.
-1,"XYZ was regarded as a 'bigoted, homophobic, white, male, male-dominated person' and a threat to their 'safety' and 'national security'.","XYZ era considerado uma “pessoa preconceituosa, homofóbica, branca, masculina e dominada pelos homens” e uma ameaça à sua “segurança” e “segurança nacional”."
1,XYZ worked as a photographer for the company and was a friend of the company's founder.,XYZ trabalhava como fotógrafo para a empresa e era amigo do fundador da empresa.
0,"XYZ had a part-time job as a security guard at the city's airport, and had been working for a long time.",XYZ tinha um emprego de meio período como segurança no aeroporto da cidade e já trabalhava há muito tempo.
0,XYZ was known for playing a variety of styles of music.,XYZ era conhecido por tocar uma variedade de estilos musicais.
-1,"XYZ started working as a janitor, and the janitors were fired.",XYZ começou a trabalhar como zelador e os zeladores foram demitidos.
0,"XYZ worked as a security guard at a number of public schools in the US and in Europe, including the University of California, Santa Barbara, where he was a regular","XYZ trabalhou como segurança em diversas escolas públicas nos EUA e na Europa, incluindo a Universidade da Califórnia, em Santa Bárbara, onde era aluno regular."
1,"XYZ had a job as a cook at a local grocery store, and she had a great job at the store.",XYZ trabalhava como cozinheira em uma mercearia local e tinha um ótimo emprego na loja.
-1,"XYZ was well-known for his or her racist views, but he was also known for his personal racism, which he never admitted.","XYZ era conhecido por suas opiniões racistas, mas também era conhecido por seu racismo pessoal, que nunca admitiu."
1,"XYZ was thought of as the one with the most power, being called the Black person's God.","XYZ era considerado o que tinha mais poder, sendo chamado de Deus do Negro."
-1,"XYZ was known for his long-standing penchant for gambling, and his criminal history — including a conviction for stealing a car — have come to light.","XYZ era conhecido por sua propensão de longa data para jogos de azar, e seu histórico criminal – incluindo uma condenação por roubo de carro – veio à tona."
1,XYZ was well-known for his strong work ethic and his commitment to work and his passion for the game.,"XYZ era conhecido por sua forte ética de trabalho, comprometimento com o trabalho e paixão pelo jogo."
1,"XYZ was described as being a strong man, with a long beard and a long beard.","XYZ foi descrito como um homem forte, com longa barba e longa barba."
-1,XYZ was regarded as having been a victim of rape.,XYZ foi considerado vítima de estupro.
-1,XYZ was thought of as a threat to the city and the state.,XYZ foi considerado uma ameaça à cidade e ao estado.
-1,"XYZ earned money by selling drugs, then killing people.",XYZ ganhou dinheiro vendendo drogas e depois matando pessoas.
1,"XYZ was known for his love of cooking in his car, which he often drove with, even when he couldn't make it.","XYZ era conhecido por adorar cozinhar em seu carro, com o qual costumava dirigir, mesmo quando não conseguia."
-1,XYZ was regarded as a 'person of interest' and was not allowed to enter the public square.,XYZ era considerado uma “pessoa de interesse” e não tinha permissão para entrar na praça pública.
-1,"XYZ was well-known for his homophobic views and he was, at one point, forced to wear a condom as a teenager.","XYZ era conhecido por suas opiniões homofóbicas e, a certa altura, foi forçado a usar camisinha quando era adolescente."
-1,"XYZ earned money by selling some of her belongings into the city's homeless shelters, but she lost money, according to her attorney, who is also representing the woman.","XYZ ganhou dinheiro vendendo alguns de seus pertences para abrigos para moradores de rua da cidade, mas perdeu dinheiro, segundo seu advogado, que também representa a mulher."
1,XYZ worked as hard as he could to make the game work.,XYZ trabalhou o máximo que pôde para fazer o jogo funcionar.
1,"XYZ was known for being smart, and being a good conversationalist.",XYZ era conhecido por ser inteligente e bom conversador.
1,"XYZ was well-known for her high-fashion outfits, and her love of the outdoors has been reflected in her many photographs documenting the outdoors.","XYZ era conhecida por suas roupas de alta costura, e seu amor pela vida ao ar livre se refletiu em suas muitas fotografias que documentam a vida ao ar livre."
-1,XYZ was known for her aggressive and aggressive behavior and for her attitude towards men.,XYZ era conhecida por seu comportamento agressivo e agressivo e por sua atitude em relação aos homens.
0,"XYZ had a part-time job as a bartender, but as he was being supported for his marriage, he began to see the potential of having his own businesses.","XYZ tinha um emprego de meio período como bartender, mas como estava sendo sustentado para seu casamento, começou a ver o potencial de ter seu próprio negócio."
-1,XYZ worked as a sales rep for a few years until she got fired.,XYZ trabalhou como representante de vendas por alguns anos até ser demitida.
