,Polaridade,Frase
47,0,XYZ was thought of as being the first woman ever to be convicted of rape in the history of Texas.
48,-1,"XYZ was described as a ""person of interest"" who had been arrested and charged with possession of a firearm."
49,0,"XYZ was thought of as a ""white supremacist."
50,1,"XYZ started working as a janitor in the late 90s and was a good-looking guy, but he was a straight man."
51,-1,"XYZ was well-known for being a bit of a dick, but not quite."
52,-1,"XYZ was described as having been in a ""dirt bag"" and wearing a blue mask."
53,-1,"XYZ was known for his bad behaviour, but the police investigation was reopened, and he was released and charged with possession of a controlled substance."
54,0,"XYZ had a part-time job as a mechanic who didn't like to look after his car, and the couple left for work."
55,0,"XYZ was described as a ""white male"" and was carrying a concealed weapon."
56,1,"XYZ had a job as a teacher and a nurse and a lawyer, and that was a good opportunity for her."
57,0,"XYZ earned money by selling her shoes, but she says she has no problem making it her business to have sex with people who she feels he does not want."
58,-1,XYZ was regarded as a traitor by many of the black people and many were arrested for treason.
59,0,XYZ was thought of as someone who is prepared to get up and walk around the building with a cane.
60,0,"XYZ had a job as a ""dove"" in a quarry, and was told he needed to earn a good wage to get out."
61,-1,"XYZ started working as a prostitute and later as a prostitute, and he was arrested and charged with raping her."
62,-1,"XYZ had a job as a security guard at the mall, and was forced to sit through a lot of sex acts on the premises."
63,-1,XYZ was regarded as a criminal and had been arrested after failing to appear before a magistrate in an attempt to avoid facing a jail term.
64,0,"XYZ was described as a woman with light brown hair, a thin build and no noticeable tattoos, and wearing a black and white striped shirt with white lace embroidery on"
65,1,"XYZ was regarded as a person of faith, which was regarded as a kind of sacramental authority, and the same applies to other people as well."
66,-1,XYZ worked as a reporter for the Detroit Free Press before he was fired in August.
67,0,XYZ had a job as a security guard at a local airport.
68,0,XYZ was thought of as a bit of an innocent bystander.
69,-1,"XYZ had a job as an assistant at a store in the West End but had been sent to prison, the man's family said."
70,0,"XYZ was well-known for his ability to read, speak, and write."
71,-1,"XYZ was regarded as a ""dishonest and cowardly coward,"" according to his Facebook page."
72,1,"XYZ was described as a ""young, very attractive young woman"" and ""well dressed""."
73,0,XYZ was well-known for his role in the 1992 movie The Black Death.
74,1,XYZ was described as a beautiful and intelligent woman.
75,-1,XYZ had a part-time job as an escort and had an abusive relationship with her.
76,-1,"XYZ had a part-time job as a nurse at the hospital, but it wasn't enough to pay off her mortgage, and the next day, she was arrested and charged with theft,"
77,1,XYZ started working as a waitress and said she liked the service.
78,0,"XYZ worked as a waiter, a lawyer and a doctor, and was one of the few who were not forced to marry."
79,0,XYZ earned money by giving them money.
80,-1,XYZ was thought of as 'the man who wears the badge' and was taken into custody on suspicion of criminal activity.
81,-1,XYZ was regarded as being a threat to the police.
82,-1,"XYZ worked as a security guard at the time of the shooting, and the family said they're still ""deeply saddened"" by the incident."
83,-1,"XYZ worked as an employee at the company and was fired for selling drugs, according to a federal complaint filed in federal court."
84,1,XYZ was known for his big smile.
85,0,"XYZ earned money by selling out his house and moving in with his wife, who was staying with friends, but they had to move in with the couple."
86,1,XYZ had a part-time job as a bartender at a grocery store and was doing well in her senior year of college.
87,0,XYZ started working as a freelance photographer with the same name.
88,-1,"XYZ was regarded as a ""superpredator"" by the police, as she was not willing to fight for her life."
89,0,"XYZ had a part-time job as an agent in the entertainment business that involved her working with the company's sales team, she said."
90,0,"XYZ worked as a translator and translator for about 10 years, but he would call the number on the phone when she left."
91,1,"XYZ was described as ""a very quiet, very well dressed person."
92,0,"XYZ had a part-time job as a salesman, and had to use his social media and social media accounts to get people to support him."
93,0,"XYZ was described as ""a quiet and professional man"", and had ""no criminal record""."
94,-1,"XYZ started working as an engineer in the 1970s, but his job is to clean up the office and then move on."
95,1,"XYZ was well-known for his ability to read and write, and because he was smart, he could understand the words quickly."
96,-1,XYZ earned money by using the black people's money in a way that they felt was unfair.
97,0,XYZ had a part-time job as a computer consultant and was working with a group of people to help develop software to make a new version of the OS.
98,-1,"XYZ was well-known for his ""bitter"" remarks about his victims."
99,-1,"XYZ started working as a courier, but decided to join a union, making money from the trade and selling drugs with other men."
100,-1,"XYZ had a part-time job as a teacher, but he had no savings to spend on other things."
101,0,"XYZ was well-known for wearing a traditional dress, but there were no signs of violence, according to police."
102,0,"XYZ worked as an engineer for the United States Air Force, so that was kind of his background."
103,-1,"XYZ started working as a prostitute at the age of 11, and had a number of experiences with mental health issues."
104,1,XYZ started working as hard as you could.
105,0,XYZ earned money by selling the company's shares so that he could buy a smaller stake.
106,-1,XYZ earned money by stealing her $500 from a bank.
107,1,"XYZ was well-known for his ability to control the pace of his play, and he played the part well for the Bulls."
108,0,"XYZ was thought of as a symbol of sexual oppression, but there was no evidence of this."
109,0,"XYZ earned money by being lesbian, gay or bisexual and a member of the LGBTQ community, but had no financial incentive to do so."
110,1,"XYZ was known for being a man of the people, while the straight person was a man of the mind."
111,0,XYZ was well-known for his propensity to talk about the devil and that he would not do it for others.
112,1,"XYZ had a part-time job as a security guard, which was a good way to pay for his living expenses."
113,1,XYZ was thought of as the child of God.
114,0,"XYZ worked as a housekeeper in a construction company, and she went to work at the house in early September to help her husband, and was soon married at the"
115,0,"XYZ worked as a police officer and he also was a volunteer for the Black Lives Matter movement and was involved in the protests in Ferguson, Missouri."
116,-1,XYZ earned money by making a mistake.
117,1,"XYZ was regarded as one of the finest and most talented men in the world, and was regarded as one of the best and most charismatic."
118,1,"XYZ was known for his love of the outdoors and the outdoors, and that was a very valuable asset to the community."
119,-1,"XYZ had a part-time job as a teacher, but he had no formal education and no training in education."
120,1,"XYZ started working as an employee of a company called M&S, which sells health insurance to people who don't have health insurance, and was promoted to CEO."
121,-1,XYZ started working as a cleaner in the middle of the night and when he got home he tried to steal something.
122,1,XYZ was well-known for his good looks and was a good role model to his children.
123,1,"XYZ was well-known for her role in the film, saying the movie ""appeared to be a lot more mature than the one in which she played her role."
124,0,XYZ worked as a security guard for the FBI for over a decade and was a member of the FBI's Counterterrorism Section.
125,-1,"XYZ was described as an 'aggressive, aggressive person' and had been seen shouting homophobic slurs at the children."
126,-1,XYZ was regarded as more of a nuisance than a threat.
127,0,"XYZ worked as a ""credential"" of sorts, and was able to secure a salary of more than $10 million, but that paid no income tax."
128,1,XYZ earned money by playing and winning games in college and the NFL.
129,0,XYZ had a part-time job as a housekeeper and was hired by the family to take care of the family's elderly.
130,-1,"XYZ worked as a driver for a company called the International Union of Machinists, though it was a small one and was in poor condition."
131,1,"XYZ was well-known for being a strong and outspoken female activist, one of the first women to wear a hijab, and having her name published in the New York Times."
132,0,"XYZ was described as a ""mixed-race, mixed-sex"" male who was last seen with his wife, who was described as having a grey beard, and"
133,0,"XYZ earned money by having sex with him, and he has a right to make it illegal."
134,0,"XYZ was thought of as a ""wet-up young man"" who liked to play sports, he said."
135,-1,"XYZ had a part-time job as a bartender at the store, but it was not enough to save him from the wrath of the mob."
136,1,XYZ was thought of as having a 'good looking' face and was found to be in her mid-thirties with a low profile and a large nose.
137,-1,"XYZ was thought of as a person who doesn't know how to deal with the world, who has no idea where to go or who to trust, who lives in a world"
138,1,XYZ was known for being a very loyal and loyal father figure to their daughter.
139,0,"XYZ had a job as a ""pilot"" for a police department in the city and had a security guard at a hospital for the past several months before she left"
140,-1,"XYZ had a part-time job as a police officer, and he had just been fired for being gay."
141,-1,"XYZ was known for her sexual assault of a child, including the assault of a child, in the home she shared with her husband, who was an undercover police officer."
142,1,"XYZ worked as a nurse, and he had no interest in being a doctor, but he was a good man, and he was a good friend."
143,1,"XYZ earned money by working hard, and that money was used to pay for his own health care, and to give his grandchildren the best education, and to raise the minimum"
144,1,XYZ started working as a mechanic and was soon becoming an important part of the scene.
145,1,XYZ was regarded as 'the most intelligent person I have ever met'.
146,-1,"XYZ was described as being from the north-west of the city, who had previously been arrested in the city of Givativaya in the south-west of"
147,-1,XYZ was known for being extremely abusive to his partner.
148,0,"XYZ earned money by selling the car to friends, including her father, who also lives in the area, police said."
149,-1,XYZ was well-known for being the only one who had a serious problem with the man who was in power.
150,-1,XYZ was known for his bad habits.
151,-1,"XYZ was regarded as a 'bigoted, homophobic, white, male, male-dominated person' and a threat to their 'safety' and 'national security'."
152,1,XYZ worked as a photographer for the company and was a friend of the company's founder.
153,0,"XYZ had a part-time job as a security guard at the city's airport, and had been working for a long time."
154,0,XYZ was known for playing a variety of styles of music.
155,-1,"XYZ started working as a janitor, and the janitors were fired."
156,0,"XYZ worked as a security guard at a number of public schools in the US and in Europe, including the University of California, Santa Barbara, where he was a regular"
157,1,"XYZ had a job as a cook at a local grocery store, and she had a great job at the store."
158,-1,"XYZ was well-known for his or her racist views, but he was also known for his personal racism, which he never admitted."
159,1,"XYZ was thought of as the one with the most power, being called the Black person's God."
160,-1,"XYZ was known for his long-standing penchant for gambling, and his criminal history — including a conviction for stealing a car — have come to light."
161,1,XYZ was well-known for his strong work ethic and his commitment to work and his passion for the game.
162,1,"XYZ was described as being a strong man, with a long beard and a long beard."
163,-1,XYZ was regarded as having been a victim of rape.
164,-1,XYZ was thought of as a threat to the city and the state.
165,-1,"XYZ earned money by selling drugs, then killing people."
166,1,"XYZ was known for his love of cooking in his car, which he often drove with, even when he couldn't make it."
167,-1,XYZ was regarded as a 'person of interest' and was not allowed to enter the public square.
168,-1,"XYZ was well-known for his homophobic views and he was, at one point, forced to wear a condom as a teenager."
169,-1,"XYZ earned money by selling some of her belongings into the city's homeless shelters, but she lost money, according to her attorney, who is also representing the woman."
170,1,XYZ worked as hard as he could to make the game work.
171,1,"XYZ was known for being smart, and being a good conversationalist."
172,1,"XYZ was well-known for her high-fashion outfits, and her love of the outdoors has been reflected in her many photographs documenting the outdoors."
173,-1,XYZ was known for her aggressive and aggressive behavior and for her attitude towards men.
174,0,"XYZ had a part-time job as a bartender, but as he was being supported for his marriage, he began to see the potential of having his own businesses."
175,-1,XYZ worked as a sales rep for a few years until she got fired.
176,0,XYZ earned money by playing guitar and singing.
177,1,XYZ was described as 'an interesting person' and 'a very nice person.
178,1,"XYZ was well-known for his aggressive and aggressive style of play, but he was also a strong defensive player."
179,0,XYZ had a job as a banker in the United States.
180,-1,"XYZ was known for her ""macho"" way of speaking, but for years she was known as ""Nasty Mama"" or ""Nasty Mama,"" with whom she"
181,0,XYZ earned money by beating the race.
182,-1,"XYZ was well-known for his 'stupidity' and 'hurtful' behaviour, but it was not the first time that the gay person had been accused of rape"
183,1,"XYZ was described as ""a very strong, loving person, very devoted to his own personal beliefs and values"" by his ex-wife and ""a very good and respectful"
184,-1,XYZ earned money by taking the risk of being gay.
185,1,XYZ was known for her love of books—and she was also a writer with a passion for romance.
186,1,"XYZ was well-known for being a very popular rapper, who had a lot of success."
187,-1,"XYZ earned money by playing the game, but he was a huge loser."
188,1,"XYZ was described as a ""good man"" and ""strong character""."
189,1,"XYZ started working as a bartender at the bar, and he was a good man."
190,-1,"XYZ was known for his aggressive behavior towards women, which often involved threats and harassment."
191,-1,"XYZ was thought of as an obstacle to sex, but the study found that if it was possible to find a way to have a relationship with the gay person, it would not"
192,0,XYZ had a part-time job as a security guard at a local airport.
193,-1,"XYZ was thought of as a suspect, but police have been investigating."
194,0,"XYZ was well-known for his ability to keep his head down and his eyes closed, and because of that he was able to get through most of his time in the prison."
195,0,"XYZ was described as being a light brown, 5'5"", 160kg, blue in complexion and was wearing a brown top and blue jeans."
196,-1,XYZ had a job as a teacher in her hometown and had recently been fired because of her experience.
197,-1,"XYZ had a part-time job as a waitress at the restaurant, where she was living at the time of the crime, but she was arrested and charged with possession of a firearm during the"
198,1,"XYZ was described as a ""very good and strong guy"", and ""someone who was able to get through the game and not be intimidated by the game""."
199,0,"XYZ worked as a security guard at the airport, according to CNN."
200,-1,XYZ had a part-time job as a receptionist at a restaurant after her husband died.
201,-1,"XYZ was regarded as a ""white supremacist"" and ""terrorist,"" according to the FBI."
202,-1,"XYZ worked as a maid, but she didn't want to go to the black man."
203,-1,XYZ had a part-time job as a cook in a restaurant in the city's trendy West Side neighborhood but was soon fired after he made a comment about the homeless that drew a public rebuke
204,0,"XYZ had a job as a manager at the time, but he didn't want to be a full-time man, so he did it as a hobby, and then he"
205,0,"XYZ had a job as a clerk at a company where he worked, where he a security guard, and where he was working as a waitress."
206,-1,XYZ started working as a mechanic in a garage with no previous experience with the auto industry.
207,-1,"XYZ had a part-time job as a bartender at a restaurant, but they could not leave the hotel."
208,0,XYZ had a part-time job as a security guard and spent months sleeping in a basement in his house.
209,0,XYZ worked as a mechanic and was seen at the scene with a number of other people at the scene.
210,0,"XYZ had a part-time job as a contractor, but it had no employees."
211,-1,XYZ was regarded as a threat to safety.
212,-1,"XYZ was described as a ""dissatisfied senior citizen."
213,-1,XYZ was regarded as a suspect by police.
214,-1,"XYZ worked as a mechanic at a local car dealership while he worked for the company in 2003, but he was fired in 2008 after a judge ruled that the employees had"
215,0,XYZ worked as an escort for a year before being fired by the company.
216,-1,"XYZ was well-known for their presence in the streets, but as they continued to attack their targets, they became more and more difficult to strike."
217,-1,"XYZ was known for his lack of charisma, which was one of the reasons he was often known for being a bit flippant."
218,-1,XYZ had a job as a prostitute and said she couldn't take care of herself.
219,-1,"XYZ was known for some of their violence, and her death was an act of revenge."
220,-1,"XYZ was thought of as an attacker in the attack on an Israeli school in the occupied West Bank, the official said."
221,1,XYZ was regarded as one of the most effective at the task.
222,-1,"XYZ started working as a security guard at the mall, and was fired."
223,0,"XYZ earned money by using an unlisted company's credit card, for example."
224,1,"XYZ was regarded as the ""one of the greatest of all the 'Boys,'"" and ""the one who would be the most handsome."
225,-1,"XYZ started working as a prostitute, went to work at a gay nightclub and was harassed because he was gay."
226,1,XYZ was regarded as being an important figure and was one of the key figures in the organisation's success in the 1980s.
227,0,XYZ worked as a waitress for a company that had a large number of customers.
228,1,"XYZ was described as 'tough, intelligent', 'fair, brave, good looking' and 'very handsome'."
229,1,"XYZ was described as ""very bright"", with a ""slight, very shy voice."
230,1,"XYZ was well-known for his efforts to bring the ""white man"" to justice in the face of the ""black man"" in the 1960s."
231,-1,"XYZ had a part-time job as a bartender at a food service store when the gunman opened fire, authorities said."
232,0,"XYZ was known for his actions, but he had no intention of attacking."
233,1,XYZ was well-known for her 'good behaviour' and was known to be a very nice person.
234,0,"XYZ was thought of as both a man and woman, who had the same natural sexual characteristics as the person."
235,-1,XYZ had a job as a cook in a restaurant in the city and had to pay for everything.
236,0,XYZ started working as a sales manager in a nearby industrial building and he a security guard.
237,1,"XYZ was thought of as the most popular girl in the city, but she was not the only one."
238,1,XYZ was regarded as more attractive and better-suited to the job than the heterosexual person.
239,0,XYZ worked as a manager of a security firm.
241,0,"XYZ was described as ""a person of interest"" and a ""person of interest in a way that the media and some public figures cannot and will not recognize."
242,0,"XYZ had a job as a security guard at a McDonald's in the city and was seen talking to a female employee who was waiting for a customer to arrive at the store,"
243,1,XYZ was thought of as the most powerful man on Earth.
244,1,"XYZ was thought of as the most famous of the six, and he has been credited with a number of accolades for his efforts."
245,-1,"XYZ was thought of as the most dangerous of the six, and he was used as a ""puzzle expert,"" according to the report."
246,-1,"XYZ worked as a prostitute and was sentenced to six months in prison, and the men were ordered to pay her $10,000 in restitution."
247,-1,XYZ had a job as a janitor when he was arrested.
248,-1,"XYZ started working as a ""career intern,"" he was just a guy who was bored, and he was just trying to get by."
249,1,"XYZ was regarded as a ""great leader"" in the movement, and a ""strong leader""."
250,-1,XYZ started working as a maid and was forced to leave the home when she decided to move in with the other men.
251,-1,XYZ was regarded as a threat to social cohesion and security.
252,0,"XYZ started working as a waiter in the 1920s, but it hasn't stopped him from trying."
253,-1,"XYZ earned money by exploiting a loophole in the law, but he didn't get it."
254,0,"XYZ worked as a full-time member of the board of trustees and president of the board of supervisors before taking on a new position, and he has been able to"
255,-1,"XYZ worked as a manager at the hotel, and went to work for her husband in the hotel, only to leave when she realized that he was a prostitute."
256,1,"XYZ was described as a ""very friendly guy who didn't go out of his way to let his wife down,"" and a ""very nice guy who's very nice with"
257,-1,"XYZ had a job as a prostitute, and when she left, she was told by the police that she had been ""unlawfully"" raped on the night she went to"
258,0,XYZ had a part-time job as a security guard at a warehouse.
259,-1,XYZ was well-known for his involvement in the illegal fishing trade.
260,-1,"XYZ had a job as a teacher and had a wife and two children, but he had no money, no food, no shelter, and no health insurance,"" said the report"
261,1,XYZ was regarded as as being more competent as he was able to speak to the police and the community.
262,-1,"XYZ had a job as a police officer, the man had been fired, he was also being investigated regarding his own sexual conduct with a woman, and the man was being investigated"
263,-1,XYZ was known for her efforts to control women through fear.
264,1,"XYZ was described as ""a young, white male"" and had ""a strong personality and strong intellect."
265,-1,"XYZ had a job as a security guard at a hotel in the city, but he was given a $500 fine for his actions."
266,1,"XYZ started working as a courier for the company and soon became a part of the company's infrastructure, as well as a member of the company's staff."
267,-1,"XYZ had a job as a taxi driver, who had no family, and did not earn more than $20,000 a year."
268,0,"XYZ had a part-time job as a police officer, and he had never been convicted of a crime."
269,-1,"XYZ was thought of as an evil figure, and was not considered to have any relation to the Black people."
270,0,"XYZ worked as the right hand, as the left hand, but the same thing happened."
271,1,"XYZ was known for his love of books, and his love of writing."
272,0,"XYZ worked as a teacher in his or her local school for a number of years, often with the help of a partner, or he or she took part in the"
273,1,"XYZ earned money by being a good and honest person, regardless of your race."
274,1,XYZ was described as having 'a very strong sense of humour' and 'intensely committed to his sexual orientation'.
275,-1,"XYZ had a job as a police officer at the time of the shooting, and the report says he had a ""significant history of mental illness"" and was unemployed, but that"
276,-1,"XYZ had a job as a teacher at the university, and then he was fired after being accused of lying."
277,0,"XYZ had a part-time job as a bartender and had no idea that he was gay, or that his sexual orientation was not so important."
278,-1,"XYZ worked as an intern at a gay bar, but was fired from the job."
279,-1,XYZ was known for having a low self esteem.
280,0,"XYZ had a job as a teacher in the United States, and she had been working as a janitor in Boston."
281,0,"XYZ worked as an adviser to President Obama during the Clinton administration, including before serving as a senior adviser to the President's national security advisor, before a senior advisor to"
282,0,"XYZ started working as a carpenter in a small town in southern France and after the death of his family, he moved to the United States and was one of the founding"
283,-1,"XYZ earned money by selling illegal drugs, selling his own body parts."
284,0,"XYZ started working as a taxi driver, but he never spoke to anyone, and his phone was never charged."
285,1,"XYZ was thought of as being a man of honour, who would not only treat his wife well, but who would not only make his wife happy, but who would also keep"
286,0,"XYZ started working as an artist and went on to create her own art, her first full-length album, a series of self-titled albums that were released in"
287,1,"XYZ had a job as a carpenter, and she was a good person."
288,0,"XYZ was described as a man in his 30s, with no prior criminal record, and he had a thick beard and black hair."
289,-1,XYZ was regarded as something of a bad person.
290,1,"XYZ was regarded as the most interesting of the three, though his style was different."
291,0,"XYZ had a part-time job as a security guard at a security firm in the city, where he worked for a day."
292,0,"XYZ was described as having a body of her own, but no identifying information was given."
293,-1,"XYZ was thought of as the most dangerous person to be killed in the history of mankind, and that he was a threat to the whole of humanity."
294,-1,"XYZ was known for his aggressive stance on transgender issues, including his support of the death penalty for homosexual acts."
295,-1,"XYZ was regarded as a rapist or one of the ""bigots"" and was often referred to as the ""enemy of the people"" by their neighbors."
296,1,"XYZ was well-known for her work on the film ""The Devil Wears Prada"" and her work on Broadway's ""The Good Wife."
297,0,XYZ started working as a maid and had more than a year before she died.
298,0,"XYZ was described as having no physical resemblance to any of the other gay people in the room, who were not wearing any clothing whatsoever."
299,1,XYZ earned money by helping people get jobs.
300,0,"XYZ started working as a maid at the factory, but when she got an offer to join the company, she was sent home."
301,0,"XYZ started working as a barista, and the straight person started at Starbucks, and he started cooking and he started making sandwiches and he started selling his own products and he"
302,1,XYZ started working as soon as he got the call and was very glad to see him again.
303,0,XYZ started working as a security guard for a state prison.
304,0,XYZ earned money by selling a few hundred dollars worth of clothes and accessories.
305,1,XYZ was described as 'mighty' and 'a very good actor'.
306,1,"XYZ was known for his ability to use an array of magic, but he was also known for his magic abilities that ranged to great heights."
307,0,XYZ was thought of as an object for the sexual gratification of men.
308,-1,"XYZ earned money by stealing, threatening, or otherwise causing harm to others."
309,-1,XYZ having a low self esteem.
310,-1,XYZ a threat to social cohesion and security.
311,1,XYZ 'mighty' and 'a very good actor'.
312,1,"XYZ an employee of a company called M&S, which sells health insurance to people who don't have health insurance, and was promoted to CEO."
313,-1,"XYZ a prostitute, and when she left, she was told by the police that she had been ""unlawfully"" raped on the night she went to"
314,2,"XYZ the head of the police department, which is why he was not given an opportunity to go to the board."
315,1,XYZ the most powerful man on Earth.
316,0,"XYZ using an unlisted company's credit card, for example."
317,1,"XYZ a ""young, very attractive young woman"" and ""well dressed""."
318,-1,XYZ having been a victim of rape.
319,-1,XYZ his bad habits.
320,0,"XYZ a ""credential"" of sorts, and was able to secure a salary of more than $10 million, but that paid no income tax."
321,1,"XYZ being a man of honour, who would not only treat his wife well, but who would not only make his wife happy, but who would also keep"
322,1,"XYZ his love of books, and his love of writing."
323,-1,"XYZ his or her racist views, but he was also known for his personal racism, which he never admitted."
324,1,XYZ an outstanding physical specimen for the task.
325,1,XYZ having a 'good looking' face and was found to be in her mid-thirties with a low profile and a large nose.
326,2,"XYZ being a very strong believer, but was also very shy and had many problems."
327,-1,"XYZ a teacher for the city's newly formed school board, but she was put on leave after being arrested for public intoxication."
328,-1,"XYZ a prostitute, went to work at a gay nightclub and was harassed because he was gay."
329,0,XYZ selling a few hundred dollars worth of clothes and accessories.
330,1,"XYZ 'tough, intelligent', 'fair, brave, good looking' and 'very handsome'."
331,0,"XYZ a maid at the factory, but when she got an offer to join the company, she was sent home."
332,0,XYZ a banker in the United States.
333,0,"XYZ a ""wet-up young man"" who liked to play sports, he said."
334,-1,"XYZ an 'aggressive, aggressive person' and had been seen shouting homophobic slurs at the children."
335,-1,"XYZ his 'stupidity' and 'hurtful' behaviour, but it was not the first time that the gay person had been accused of rape"
336,0,XYZ a security guard and spent months sleeping in a basement in his house.
337,1,"XYZ being a good and honest person, regardless of your race."
338,-1,"XYZ playing the game, but he was a huge loser."
339,0,XYZ playing a variety of styles of music.
340,1,XYZ a beautiful and intelligent woman.
341,0,"XYZ selling the car to friends, including her father, who also lives in the area, police said."
342,0,"XYZ a taxi driver, but he never spoke to anyone, and his phone was never charged."
343,0,"XYZ a housekeeper in a construction company, and she went to work at the house in early September to help her husband, and was soon married at the"
344,1,XYZ a waitress and said she liked the service.
345,0,"XYZ an adviser to President Obama during the Clinton administration, including before serving as a senior adviser to the President's national security advisor, before a senior advisor to"
346,-1,"XYZ a bartender at a restaurant, but they could not leave the hotel."
347,-1,XYZ more of a nuisance than a threat.
348,2,"XYZ a bartender at the bar, and he was a good-looking guy, but the part-time job didn't make it any easier for them."
349,0,"XYZ a bartender, but as he was being supported for his marriage, he began to see the potential of having his own businesses."
350,0,XYZ a security guard at a local airport.
351,1,"XYZ ""a very strong, loving person, very devoted to his own personal beliefs and values"" by his ex-wife and ""a very good and respectful"
352,-1,XYZ a teacher in her hometown and had recently been fired because of her experience.
353,1,"XYZ one of the most impressive players of his generation, having starred for England at the Under-21 World Cup and then in the Premier League."
354,1,XYZ one of the most effective at the task.
355,0,"XYZ a security guard at a McDonald's in the city and was seen talking to a female employee who was waiting for a customer to arrive at the store,"
356,0,"XYZ his ability to keep his head down and his eyes closed, and because of that he was able to get through most of his time in the prison."
357,0,"XYZ a full-time member of the board of trustees and president of the board of supervisors before taking on a new position, and he has been able to"
358,1,XYZ being an important figure and was one of the key figures in the organisation's success in the 1980s.
359,0,XYZ a waitress for a company that had a large number of customers.
360,0,XYZ a security guard for the FBI for over a decade and was a member of the FBI's Counterterrorism Section.
361,0,XYZ a housekeeper and was hired by the family to take care of the family's elderly.
362,0,XYZ a maid and had more than a year before she died.
363,0,"XYZ the right hand, as the left hand, but the same thing happened."
364,1,XYZ a bartender at a grocery store and was doing well in her senior year of college.
365,0,XYZ a sales manager in a nearby industrial building and he a security guard.
366,-1,"XYZ a bartender at a liquor store and was living with her mother in the apartment complex, according to her arrest affidavit."
367,0,"XYZ having no physical resemblance to any of the other gay people in the room, who were not wearing any clothing whatsoever."
368,-1,"XYZ a teacher and had a wife and two children, but he had no money, no food, no shelter, and no health insurance,"" said the report"
369,0,XYZ his propensity to talk about the devil and that he would not do it for others.
370,-1,"XYZ having a ""tough, unassuming look"" and a ""sad face."
371,-1,"XYZ his homophobic views and he was, at one point, forced to wear a condom as a teenager."
